Ticket_ID,Age,Ticket_Price,Number_of_Person,Purchase_Again,gasto_total_est,gasto_promedio,Movie_Genre_Comedy,Movie_Genre_Drama,Movie_Genre_Horror,Movie_Genre_Sci-Fi,Seat_Type_Standard,Seat_Type_Vip,age_group_18-24,age_group_25-39,age_group_40-59,age_group_60+,segment
N4369,55,12.27,7.0,0,85.89,12.27,True,False,False,False,True,False,False,False,True,False,3
V6341,55,22.52,3.0,0,67.56,22.52,False,False,True,False,False,True,False,False,True,False,3
B3243,53,23.01,6.0,1,138.06,23.01,False,True,False,False,True,False,False,False,True,False,2
I3814,30,21.81,4.0,1,87.24,21.81,True,False,False,False,False,True,False,True,False,False,0
V4726,44,23.09,7.0,1,161.63,23.09,False,False,False,True,False,False,False,False,True,False,2
H4037,51,21.35,2.0,1,42.7,21.35,False,False,False,False,True,False,False,False,True,False,1
P4991,40,16.75,6.0,0,100.5,16.75,False,False,True,False,False,True,False,False,True,False,0
I7517,35,21.49,2.0,1,42.98,21.49,False,False,True,False,False,True,False,True,False,False,1
Q8198,26,22.32,5.0,1,111.6,22.32,True,False,False,False,False,True,False,True,False,False,0
J1556,23,18.21,4.0,0,72.84,18.21,False,False,True,False,False,False,True,False,False,False,3
Q8269,21,20.46,7.0,0,143.22,20.46,False,True,False,False,False,True,True,False,False,False,2
T5210,37,12.67,6.0,1,76.02,12.67,False,True,False,False,False,True,False,True,False,False,3
P9720,22,11.1,2.0,0,22.2,11.1,False,False,False,True,False,False,True,False,False,False,1
E7092,24,19.56,7.0,0,136.92,19.56,True,False,False,False,False,False,True,False,False,False,2
T7858,60,20.22,2.0,0,40.44,20.22,False,False,False,False,True,False,False,False,False,True,1
A6397,58,15.81,5.0,1,79.05,15.81,False,True,False,False,False,False,False,False,True,False,3
D4217,20,13.39,3.0,0,40.17,13.39,False,False,False,True,True,False,True,False,False,False,1
I6521,49,18.5,7.0,0,129.5,18.5,True,False,False,False,False,True,False,False,True,False,2
K1926,59,21.2,4.0,1,84.8,21.2,True,False,False,False,False,True,False,False,True,False,3
E4059,49,22.32,7.0,1,156.24,22.32,False,True,False,False,False,False,False,False,True,False,2
R6144,29,17.75,3.0,1,53.25,17.75,True,False,False,False,True,False,False,True,False,False,1
L2802,45,14.98,5.0,0,74.9,14.98,True,False,False,False,False,False,False,False,True,False,3
E5484,27,24.7,7.0,1,172.9,24.7,False,True,False,False,False,False,False,True,False,False,2
A8535,50,14.78,5.0,0,73.89999999999999,14.78,False,False,False,True,False,False,False,False,True,False,3
A1178,58,23.78,7.0,0,166.46,23.78,False,False,False,True,False,True,False,False,True,False,2
J5739,57,13.62,3.0,0,40.86,13.62,False,False,False,False,False,False,False,False,True,False,1
N7141,54,19.01,2.0,1,38.02,19.01,False,False,True,False,False,True,False,False,True,False,1
X4553,52,15.56,5.0,0,77.8,15.56,False,False,False,True,False,False,False,False,True,False,3
B2686,22,15.19,3.0,1,45.57,15.19,False,False,False,True,True,False,True,False,False,False,1
O6264,60,11.58,7.0,1,81.06,11.58,False,True,False,False,False,True,False,False,False,True,3
N5266,48,14.04,6.0,0,84.24,14.04,False,True,False,False,False,True,False,False,True,False,3
I5016,54,21.49,7.0,1,150.42999999999998,21.49,False,False,False,True,True,False,False,False,True,False,2
U8801,38,17.67,2.0,0,35.34,17.67,False,False,True,False,False,True,False,True,False,False,1
N2120,25,13.05,6.0,0,78.30000000000001,13.05,False,False,False,False,False,True,False,True,False,False,3
O2106,58,18.95,6.0,0,113.7,18.95,False,True,False,False,False,True,False,False,True,False,0
M1047,59,10.69,6.0,0,64.14,10.69,False,False,False,False,True,False,False,False,True,False,3
F9240,60,23.15,6.0,0,138.89999999999998,23.15,False,False,False,False,False,False,False,False,False,True,2
O3044,18,12.04,6.0,1,72.24,12.04,False,False,False,False,True,False,True,False,False,False,3
F1619,40,13.93,6.0,1,83.58,13.93,True,False,False,False,False,False,False,False,True,False,3
L7684,46,24.35,6.0,1,146.10000000000002,24.35,False,False,True,False,False,True,False,False,True,False,2
M9668,22,21.73,2.0,1,43.46,21.73,False,False,False,True,False,True,True,False,False,False,1
O6443,35,16.33,7.0,1,114.31,16.33,False,False,True,False,True,False,False,True,False,False,0
T2876,60,24.08,4.0,0,96.32,24.08,False,False,True,False,False,False,False,False,False,True,0
P2389,26,22.97,5.0,1,114.85,22.97,False,False,False,True,False,True,False,True,False,False,0
Z3286,38,11.74,6.0,0,70.44,11.74,False,False,False,False,True,False,False,True,False,False,3
G4404,32,10.53,5.0,1,52.65,10.53,False,True,False,False,True,False,False,True,False,False,1
I1671,22,20.38,6.0,0,122.28,20.38,False,True,False,False,False,False,True,False,False,False,0
B4428,33,10.77,6.0,1,64.62,10.77,False,True,False,False,False,True,False,True,False,False,3
K7409,40,13.93,5.0,1,69.65,13.93,False,True,False,False,False,True,False,False,True,False,3
O4468,39,10.45,6.0,1,62.7,10.45,False,True,False,False,False,True,False,True,False,False,3
P4854,41,12.47,7.0,1,87.29,12.47,True,False,False,False,False,False,False,False,True,False,3
F6176,43,14.92,2.0,0,29.84,14.92,False,False,False,False,False,False,False,False,True,False,1
F8301,47,21.93,2.0,0,43.86,21.93,True,False,False,False,False,False,False,False,True,False,1
B8676,43,10.37,4.0,0,41.48,10.37,False,False,True,False,False,True,False,False,True,False,1
N4818,49,23.83,7.0,0,166.81,23.83,False,True,False,False,False,True,False,False,True,False,2
E8777,34,16.5,2.0,0,33.0,16.5,True,False,False,False,True,False,False,True,False,False,1
G7855,28,24.26,7.0,1,169.82000000000002,24.26,False,True,False,False,False,False,False,True,False,False,2
H8293,43,20.67,6.0,0,124.02,20.67,False,True,False,False,False,False,False,False,True,False,0
M9044,40,13.2,2.0,0,26.4,13.2,False,False,False,False,False,True,False,False,True,False,1
F3207,23,22.99,3.0,1,68.97,22.99,False,False,False,True,False,False,True,False,False,False,3
L4232,39,10.07,7.0,0,70.49000000000001,10.07,True,False,False,False,True,False,False,True,False,False,3
H4073,29,18.99,6.0,0,113.94,18.99,False,False,True,False,True,False,False,True,False,False,0
O2241,30,14.04,3.0,1,42.12,14.04,True,False,False,False,True,False,False,True,False,False,1
B0204,47,13.75,2.0,1,27.5,13.75,True,False,False,False,False,True,False,False,True,False,1
Z1790,55,14.98,2.0,1,29.96,14.98,False,True,False,False,False,False,False,False,True,False,1
Q6951,42,22.69,7.0,1,158.83,22.69,False,False,False,True,False,False,False,False,True,False,2
Y5391,21,13.88,6.0,0,83.28,13.88,False,False,True,False,False,False,True,False,False,False,3
L0167,52,18.81,2.0,0,37.62,18.81,False,False,False,False,False,True,False,False,True,False,1
F1885,35,20.77,4.0,1,83.08,20.77,False,False,False,False,True,False,False,True,False,False,3
E2469,54,22.02,4.0,0,88.08,22.02,False,False,True,False,True,False,False,False,True,False,3
G5366,52,11.95,4.0,1,47.8,11.95,False,False,False,False,False,False,False,False,True,False,1
X5079,58,21.45,6.0,1,128.7,21.45,False,False,False,True,False,False,False,False,True,False,2
G3133,33,16.85,2.0,0,33.7,16.85,False,False,True,False,False,False,False,True,False,False,1
F4095,57,21.93,2.0,0,43.86,21.93,False,False,False,True,False,False,False,False,True,False,1
Z3930,51,15.46,4.0,0,61.84,15.46,False,True,False,False,False,False,False,False,True,False,3
Q6909,44,11.3,4.0,1,45.2,11.3,False,False,False,False,True,False,False,False,True,False,1
G7472,53,19.78,3.0,0,59.34,19.78,False,True,False,False,True,False,False,False,True,False,3
O7429,43,12.51,3.0,0,37.53,12.51,False,True,False,False,False,True,False,False,True,False,1
E3715,19,13.28,5.0,1,66.39999999999999,13.28,False,False,False,False,True,False,True,False,False,False,3
R3928,53,20.62,2.0,1,41.24,20.62,False,False,True,False,False,False,False,False,True,False,1
B0786,40,18.8,4.0,1,75.2,18.8,False,False,True,False,False,False,False,False,True,False,3
G9726,20,13.31,2.0,1,26.62,13.31,False,False,False,False,True,False,True,False,False,False,1
H2248,59,10.21,5.0,1,51.05,10.21,False,False,False,False,True,False,False,False,True,False,1
X8137,42,14.77,6.0,0,88.62,14.77,False,False,True,False,False,True,False,False,True,False,3
L4461,50,18.27,5.0,1,91.35,18.27,False,False,False,False,False,False,False,False,True,False,0
L6043,22,17.66,6.0,1,105.96,17.66,False,True,False,False,False,True,True,False,False,False,0
X2267,48,15.54,7.0,1,108.78,15.54,False,False,False,False,False,True,False,False,True,False,0
K8372,25,23.68,3.0,0,71.03999999999999,23.68,False,True,False,False,False,False,False,True,False,False,3
L5263,20,14.97,2.0,0,29.94,14.97,False,False,False,True,True,False,True,False,False,False,1
E2573,45,10.85,6.0,1,65.1,10.85,True,False,False,False,False,True,False,False,True,False,3
Q4561,47,18.01,6.0,0,108.06,18.01,False,False,True,False,False,True,False,False,True,False,0
O2464,51,11.1,5.0,1,55.5,11.1,False,False,False,True,True,False,False,False,True,False,1
Q2909,56,22.59,7.0,0,158.13,22.59,True,False,False,False,False,True,False,False,True,False,2
R9368,19,10.67,7.0,0,74.69,10.67,False,True,False,False,False,True,True,False,False,False,3
W3548,40,24.38,3.0,1,73.14,24.38,False,False,False,False,False,True,False,False,True,False,3
Y6242,56,21.72,7.0,1,152.04,21.72,False,True,False,False,False,True,False,False,True,False,2
R4992,45,23.93,3.0,0,71.78999999999999,23.93,False,False,False,True,True,False,False,False,True,False,3
S3317,34,15.42,3.0,0,46.26,15.42,False,False,False,True,False,False,False,True,False,False,1
Q0936,30,15.47,4.0,1,61.88,15.47,False,False,False,False,False,False,False,True,False,False,3
M9809,39,14.4,2.0,1,28.8,14.4,False,True,False,False,False,True,False,True,False,False,1
H4173,54,14.83,5.0,1,74.15,14.83,False,False,False,False,False,False,False,False,True,False,3
Z2710,23,20.57,6.0,0,123.42,20.57,False,False,False,False,False,True,True,False,False,False,0
T8609,40,12.96,5.0,1,64.80000000000001,12.96,False,False,False,False,False,False,False,False,True,False,3
Q9783,52,16.58,3.0,1,49.74,16.58,False,True,False,False,True,False,False,False,True,False,1
J8589,29,24.21,4.0,0,96.84,24.21,True,False,False,False,False,True,False,True,False,False,0
T4877,35,20.26,7.0,0,141.82000000000002,20.26,False,False,True,False,True,False,False,True,False,False,2
Y9595,33,17.37,2.0,0,34.74,17.37,False,False,False,False,False,False,False,True,False,False,1
X4744,38,22.71,3.0,0,68.13,22.71,True,False,False,False,False,False,False,True,False,False,3
X7881,43,10.38,4.0,1,41.52,10.38,False,True,False,False,False,True,False,False,True,False,1
W8501,42,20.95,4.0,1,83.8,20.95,False,False,False,True,True,False,False,False,True,False,3
S2200,19,13.76,3.0,0,41.28,13.76,False,False,False,False,False,True,True,False,False,False,1
O6210,32,22.32,2.0,1,44.64,22.32,False,False,True,False,False,False,False,True,False,False,1
G7971,42,19.11,2.0,0,38.22,19.11,True,False,False,False,False,True,False,False,True,False,1
H1936,58,20.96,4.0,1,83.84,20.96,False,False,True,False,False,True,False,False,True,False,3
T1209,33,21.55,6.0,0,129.3,21.55,False,False,False,False,False,False,False,True,False,False,2
K2212,45,18.95,3.0,0,56.85,18.95,True,False,False,False,False,True,False,False,True,False,3
U4514,41,14.63,6.0,0,87.78,14.63,False,False,False,True,False,True,False,False,True,False,3
M4995,30,21.59,6.0,0,129.54,21.59,False,True,False,False,False,False,False,True,False,False,2
G8758,43,11.85,2.0,0,23.7,11.85,False,False,True,False,False,False,False,False,True,False,1
C5723,28,12.4,6.0,1,74.4,12.4,False,True,False,False,False,False,False,True,False,False,3
L7500,41,16.66,6.0,0,99.96,16.66,False,False,False,True,True,False,False,False,True,False,0
I4283,54,20.89,3.0,0,62.67,20.89,False,True,False,False,True,False,False,False,True,False,3
L1983,24,20.24,5.0,0,101.2,20.24,False,False,False,True,False,True,True,False,False,False,0
B7349,40,10.81,7.0,0,75.67,10.81,False,False,True,False,False,False,False,False,True,False,3
J3938,51,17.26,5.0,1,86.30000000000001,17.26,True,False,False,False,False,True,False,False,True,False,3
C6483,56,16.33,6.0,1,97.98,16.33,False,True,False,False,False,True,False,False,True,False,0
X0045,22,20.16,2.0,0,40.32,20.16,False,False,False,False,False,True,True,False,False,False,1
C4419,48,13.01,4.0,0,52.04,13.01,False,True,False,False,False,True,False,False,True,False,1
R9005,54,11.23,6.0,0,67.38,11.23,False,False,False,False,False,True,False,False,True,False,3
W3785,40,23.41,7.0,0,163.87,23.41,False,False,True,False,False,True,False,False,True,False,2
A5307,45,21.46,6.0,0,128.76,21.46,True,False,False,False,True,False,False,False,True,False,2
U1538,59,21.94,5.0,1,109.7,21.94,False,False,True,False,True,False,False,False,True,False,0
O2737,55,11.97,6.0,0,71.82000000000001,11.97,True,False,False,False,False,True,False,False,True,False,3
I2866,49,21.91,5.0,0,109.55,21.91,False,False,True,False,False,False,False,False,True,False,0
Z0663,51,19.13,2.0,0,38.26,19.13,False,False,True,False,False,True,False,False,True,False,1
B8006,52,16.35,6.0,0,98.1,16.35,True,False,False,False,False,True,False,False,True,False,0
L5541,45,22.54,5.0,0,112.7,22.54,False,False,False,True,True,False,False,False,True,False,0
Z4756,21,12.4,7.0,1,86.8,12.4,False,True,False,False,True,False,True,False,False,False,3
H9188,38,13.73,3.0,1,41.19,13.73,False,False,False,True,True,False,False,True,False,False,1
R3941,42,22.41,6.0,0,134.46,22.41,False,False,False,False,False,False,False,False,True,False,2
M2787,43,15.92,3.0,0,47.76,15.92,False,False,False,True,False,True,False,False,True,False,1
Z3492,36,23.72,4.0,1,94.88,23.72,False,False,False,False,False,True,False,True,False,False,0
T6734,36,15.17,3.0,1,45.51,15.17,False,True,False,False,False,True,False,True,False,False,1
X5538,21,14.99,7.0,0,104.93,14.99,False,True,False,False,False,False,True,False,False,False,0
A5566,54,22.72,4.0,0,90.88,22.72,True,False,False,False,False,False,False,False,True,False,0
Z1944,22,21.52,5.0,1,107.6,21.52,False,False,True,False,True,False,True,False,False,False,0
Q1502,22,14.95,5.0,0,74.75,14.95,False,False,False,True,False,True,True,False,False,False,3
R4219,54,17.6,6.0,1,105.6,17.6,True,False,False,False,False,True,False,False,True,False,0
R0307,40,10.06,2.0,1,20.12,10.06,False,True,False,False,False,True,False,False,True,False,1
K5903,36,18.0,4.0,0,72.0,18.0,False,False,True,False,False,True,False,True,False,False,3
R9300,34,17.9,3.0,0,53.7,17.9,True,False,False,False,False,True,False,True,False,False,1
M9787,39,24.65,5.0,0,123.25,24.65,False,False,False,True,True,False,False,True,False,False,0
G3600,58,11.94,3.0,0,35.82,11.94,False,False,True,False,False,False,False,False,True,False,1
G9465,40,23.56,6.0,0,141.36,23.56,False,False,False,False,False,True,False,False,True,False,2
U2868,43,18.7,4.0,0,74.8,18.7,True,False,False,False,False,False,False,False,True,False,3
G5771,42,11.49,3.0,0,34.47,11.49,False,True,False,False,True,False,False,False,True,False,1
E3613,46,11.5,7.0,0,80.5,11.5,False,False,False,False,False,True,False,False,True,False,3
R8886,34,22.99,7.0,0,160.92999999999998,22.99,True,False,False,False,True,False,False,True,False,False,2
X7448,55,24.76,3.0,1,74.28,24.76,False,False,False,False,True,False,False,False,True,False,3
E5507,51,23.81,3.0,0,71.42999999999999,23.81,False,False,False,True,False,True,False,False,True,False,3
A7562,26,24.82,4.0,0,99.28,24.82,True,False,False,False,True,False,False,True,False,False,0
U6249,31,10.34,7.0,0,72.38,10.34,False,False,False,False,False,False,False,True,False,False,3
X7898,56,18.98,7.0,0,132.86,18.98,False,False,True,False,False,True,False,False,True,False,2
R3505,42,23.03,3.0,1,69.09,23.03,False,False,True,False,True,False,False,False,True,False,3
J7159,53,13.06,4.0,1,52.24,13.06,True,False,False,False,True,False,False,False,True,False,1
M9467,23,10.01,4.0,1,40.04,10.01,False,False,False,False,False,False,True,False,False,False,1
N4655,59,19.89,5.0,0,99.45,19.89,False,False,False,False,False,True,False,False,True,False,0
M9022,34,24.17,6.0,1,145.02,24.17,False,False,False,False,False,False,False,True,False,False,2
S7251,42,14.26,4.0,1,57.04,14.26,False,False,True,False,False,True,False,False,True,False,3
R5976,33,19.09,5.0,1,95.45,19.09,True,False,False,False,False,False,False,True,False,False,0
Z2440,37,22.52,6.0,1,135.12,22.52,False,False,False,True,True,False,False,True,False,False,2
B4636,45,15.43,4.0,1,61.72,15.43,False,True,False,False,False,True,False,False,True,False,3
W7032,28,14.31,7.0,0,100.17,14.31,False,True,False,False,True,False,False,True,False,False,0
P8545,47,14.69,6.0,1,88.14,14.69,False,True,False,False,False,False,False,False,True,False,3
E8060,38,12.29,5.0,0,61.45,12.29,False,True,False,False,False,False,False,True,False,False,3
I9952,44,16.54,3.0,0,49.62,16.54,False,False,False,False,False,False,False,False,True,False,1
F4653,51,22.32,2.0,0,44.64,22.32,False,False,False,False,False,True,False,False,True,False,1
M5646,60,10.4,4.0,0,41.6,10.4,True,False,False,False,True,False,False,False,False,True,1
R1080,21,20.2,7.0,1,141.4,20.2,False,True,False,False,True,False,True,False,False,False,2
Q8760,19,17.34,3.0,0,52.02,17.34,False,True,False,False,False,False,True,False,False,False,1
Z9614,47,24.86,6.0,0,149.16,24.86,False,False,False,False,True,False,False,False,True,False,2
C1641,31,19.31,7.0,1,135.17,19.31,False,False,False,False,True,False,False,True,False,False,2
B0694,21,15.57,5.0,0,77.85,15.57,False,False,False,False,False,False,True,False,False,False,3
Y4232,55,14.86,4.0,0,59.44,14.86,False,False,False,True,True,False,False,False,True,False,3
L1895,29,13.11,6.0,0,78.66,13.11,False,False,False,True,True,False,False,True,False,False,3
K8305,48,12.08,3.0,1,36.24,12.08,True,False,False,False,False,True,False,False,True,False,1
K2667,24,10.2,4.0,1,40.8,10.2,True,False,False,False,True,False,True,False,False,False,1
X7552,52,24.27,3.0,0,72.81,24.27,False,False,True,False,False,False,False,False,True,False,3
J0855,22,22.22,5.0,0,111.1,22.22,False,True,False,False,True,False,True,False,False,False,0
G9346,35,14.6,5.0,0,73.0,14.6,False,False,False,True,True,False,False,True,False,False,3
Z3248,49,16.1,5.0,1,80.5,16.1,False,True,False,False,True,False,False,False,True,False,3
H4048,51,24.9,4.0,1,99.6,24.9,True,False,False,False,False,False,False,False,True,False,0
V3617,25,13.47,2.0,0,26.94,13.47,False,False,False,False,False,False,False,True,False,False,1
O5299,29,17.19,7.0,1,120.33,17.19,False,False,False,True,False,False,False,True,False,False,0
B5560,21,16.28,2.0,1,32.56,16.28,False,False,True,False,True,False,True,False,False,False,1
K1779,23,14.43,2.0,1,28.86,14.43,True,False,False,False,False,False,True,False,False,False,1
U0585,35,12.59,2.0,0,25.18,12.59,False,True,False,False,False,False,False,True,False,False,1
Z1729,57,20.34,4.0,1,81.36,20.34,False,False,True,False,False,True,False,False,True,False,3
Z7851,24,10.83,6.0,0,64.98,10.83,False,False,True,False,False,True,True,False,False,False,3
G4760,47,17.0,6.0,0,102.0,17.0,False,False,False,False,False,False,False,False,True,False,0
X2205,56,19.35,6.0,0,116.1,19.35,False,True,False,False,True,False,False,False,True,False,0
Z8477,52,15.07,2.0,1,30.14,15.07,False,True,False,False,False,False,False,False,True,False,1
X4895,22,18.86,5.0,1,94.3,18.86,False,False,False,True,True,False,True,False,False,False,0
Q5203,54,23.7,6.0,0,142.2,23.7,False,False,True,False,False,False,False,False,True,False,2
K2108,34,23.48,7.0,1,164.36,23.48,False,True,False,False,False,True,False,True,False,False,2
D3548,18,15.35,2.0,0,30.7,15.35,False,False,True,False,True,False,True,False,False,False,1
P1627,21,20.8,3.0,1,62.400000000000006,20.8,True,False,False,False,True,False,True,False,False,False,3
I0309,27,21.1,6.0,1,126.6,21.1,False,True,False,False,False,False,False,True,False,False,0
X8987,22,21.36,7.0,0,149.51999999999998,21.36,True,False,False,False,False,True,True,False,False,False,2
K4317,32,21.16,7.0,1,148.12,21.16,False,False,False,False,True,False,False,True,False,False,2
A1540,52,14.44,4.0,1,57.76,14.44,False,True,False,False,True,False,False,False,True,False,3
G4364,38,12.12,4.0,0,48.48,12.12,True,False,False,False,False,True,False,True,False,False,1
U2950,41,17.52,4.0,0,70.08,17.52,False,False,False,True,False,True,False,False,True,False,3
N6776,51,13.63,6.0,0,81.78,13.63,False,True,False,False,False,False,False,False,True,False,3
G7315,38,21.31,2.0,0,42.62,21.31,False,False,False,False,False,False,False,True,False,False,1
E4245,44,18.52,4.0,0,74.08,18.52,True,False,False,False,True,False,False,False,True,False,3
U6973,27,14.37,3.0,1,43.11,14.37,True,False,False,False,True,False,False,True,False,False,1
N1065,51,17.67,6.0,0,106.02,17.67,False,False,True,False,False,False,False,False,True,False,0
H9115,53,14.84,6.0,0,89.03999999999999,14.84,False,True,False,False,False,False,False,False,True,False,3
R5096,26,12.57,4.0,0,50.28,12.57,True,False,False,False,False,False,False,True,False,False,1
T2333,33,16.93,2.0,1,33.86,16.93,False,False,True,False,False,False,False,True,False,False,1
T7976,36,21.72,4.0,1,86.88,21.72,False,False,True,False,False,False,False,True,False,False,3
Y3795,50,13.83,4.0,1,55.32,13.83,False,False,False,False,False,False,False,False,True,False,1
E0520,21,17.65,5.0,1,88.25,17.65,False,False,False,True,False,True,True,False,False,False,0
Y7647,33,14.59,3.0,0,43.77,14.59,False,False,False,True,True,False,False,True,False,False,1
Q4486,27,17.76,3.0,0,53.28,17.76,True,False,False,False,True,False,False,True,False,False,1
N7144,26,13.46,7.0,1,94.22,13.46,False,True,False,False,True,False,False,True,False,False,0
E2517,35,18.31,6.0,0,109.86,18.31,False,False,False,True,False,True,False,True,False,False,0
C7925,58,13.52,3.0,1,40.56,13.52,True,False,False,False,False,True,False,False,True,False,1
W1261,31,23.23,5.0,0,116.15,23.23,False,False,False,True,True,False,False,True,False,False,0
M9663,32,13.1,2.0,1,26.2,13.1,False,True,False,False,True,False,False,True,False,False,1
H3987,58,13.58,5.0,1,67.9,13.58,False,False,False,False,False,True,False,False,True,False,3
U3922,27,16.09,6.0,0,96.54,16.09,True,False,False,False,False,False,False,True,False,False,0
O6512,32,13.1,7.0,0,91.7,13.1,False,False,False,True,False,False,False,True,False,False,0
G1300,42,17.28,6.0,1,103.68,17.28,False,False,True,False,False,False,False,False,True,False,0
A8680,35,13.74,3.0,1,41.22,13.74,False,False,True,False,True,False,False,True,False,False,1
L3353,27,11.99,4.0,1,47.96,11.99,False,False,True,False,True,False,False,True,False,False,1
O7821,42,17.22,5.0,0,86.1,17.22,False,False,True,False,False,True,False,False,True,False,3
B5225,41,24.78,7.0,1,173.46,24.78,False,False,True,False,False,True,False,False,True,False,2
A6849,28,15.12,3.0,0,45.36,15.12,False,False,False,True,False,True,False,True,False,False,1
H6205,27,18.77,5.0,1,93.85,18.77,False,False,True,False,False,True,False,True,False,False,0
G9545,60,13.82,7.0,1,96.74,13.82,False,False,True,False,True,False,False,False,False,True,0
G2856,45,22.28,5.0,0,111.4,22.28,False,False,False,True,True,False,False,False,True,False,0
F7597,41,10.79,7.0,0,75.53,10.79,False,False,False,True,False,True,False,False,True,False,3
C0135,20,14.5,6.0,0,87.0,14.5,False,True,False,False,True,False,True,False,False,False,3
H4754,43,17.08,5.0,1,85.39999999999999,17.08,False,True,False,False,True,False,False,False,True,False,3
